word;relative_frequency;corpus_commonality
tweezer;1.0000;1
nurse;12.6667;3
skate;6.0000;2
rattle;3.0000;2
chase;15.5000;4
spring;1.0000;1
pushy;1.0000;2
grandfather;2.0000;1
Lily;2.0000;2
pill;3.3333;3
breath;2.0000;2
upside;6.2500;4
short;15.0000;3
frame;2.0000;2
waggly;1.0000;2
sale;1.0000;1
chemist;1.0000;1
speaker;1.0000;1
Spain;3.5000;2
Sticker;23.3333;3
Stickerbricks;1.0000;1
curler;5.5000;2
bu;3.5000;2
amusement;3.0000;1
du;1.0000;1
Roses;1.0000;1
squash;28.0000;3
Ma;2.3333;3
dipper;3.0000;2
Porta;1.0000;1
Ventura;1.0000;1
in_case;6.0000;1
curly;19.5000;2
Spot;40.3333;3
soak;1.5000;2
cellotape;5.0000;2
pee;6.5000;2
pottie;25.0000;3
woodpecker;2.0000;2
tent;9.0000;3
Baywatch;2.0000;1
everyb;1.0000;1
squeak;26.5000;2
heart;4.5000;2
outfit;1.0000;1
Judy;14.0000;1
Punches;1.0000;1
crocodiler;4.0000;1
Blobby;2.0000;1
lef;1.0000;1
fry;1.2500;4
pan;40.0000;2
croco;1.0000;1
Glendhu;1.0000;1
sink;7.0000;3
Snowdon;3.5000;2
bikers;1.0000;1
bicycle;6.3333;3
buggy;5.0000;2
normal;1.0000;1
escape;3.0000;2
carnel;1.0000;1
rubbish;7.3333;3
space;14.0000;3
such;3.0000;1
bully;1.0000;1
stray;1.0000;1
booster;1.0000;1
mend;42.0000;3
medicine;11.7500;4
cap;2.0000;2
neck;10.5000;4
snack;2.5000;2
bee;20.6667;3
stone;19.5000;2
Jess;19.5000;2
bumble;4.0000;2
Bianca;9.0000;1
match;11.6667;3
Pingan;1.0000;1
aya;1.0000;1
vix;1.0000;1
bickie;4.5000;2
Mini;5.3333;3
grocery;5.0000;1
terrible;1.0000;3
husband;1.0000;1
Arthur;7.0000;1
dumper;23.5000;2
tipper;3.5000;2
muck;10.5000;2
crab;8.0000;3
Sticklebricks;5.0000;2
ach;4.0000;1
Gung_gung;6.0000;1
boot;21.2500;4
haw;1.0000;1
piggie;2.2500;4
gate;52.7500;4
Scott;1.0000;1
excavator;1.0000;1
dump;18.0000;2
baa;26.2500;4
Manchester;8.3333;3
United;9.0000;1
Cantona;1.5000;2
uncle;1.0000;2
lace;6.5000;2
toybox;7.0000;2
vegetable;2.6667;3
grill;2.0000;1
Denver;24.0000;1
pullin;1.0000;1
week;21.2500;4
Auntie;3.7500;4
trainer;6.0000;2
Pog;2.0000;1
dunno;8.0000;2
tool;9.0000;2
Belfast;1.0000;1
yip;11.0000;1
snooker;3.5000;2
bib;15.5000;4
collar;3.5000;2
didn;2.0000;1
each;2.3333;3
gimme;6.0000;1
stickin;1.0000;1
Claire;4.0000;3
lyin;2.0000;1
ladybird;28.5000;2
caterpillar;34.0000;2
ham;4.0000;3
lollipop;7.5000;4
onion;13.2500;4
bun;15.6667;3
melon;10.6667;3
Mogoli;1.0000;1
Giggs;1.0000;1
Backham;2.0000;1
Schmeichel;1.0000;2
spit;3.5000;2
van;82.0000;2
part;7.5000;4
pussy;10.0000;4
moon;18.6667;3
star;48.0000;3
seep;1.0000;1
Helen;1.0000;3
Fred;3.0000;2
wreckin;1.0000;1
poster;3.0000;2
McCartney;3.0000;1
stack;4.0000;3
Justin;5.0000;2
teach;2.0000;2
zero;1.0000;1
spell;6.5000;2
office;3.0000;3
fireplace;1.5000;2
tissue;19.0000;3
Humpty;8.5000;2
Dumpty;8.0000;2
spanner;14.0000;2
belong;4.0000;3
Bob;4.6667;3
age;4.5000;2
America;4.5000;2
Disney;3.0000;2
ship;5.6667;3
wooden;1.5000;2
Robson;1.0000;1
crayon;30.6667;3
altogether;2.0000;2
bleep;1.0000;2
forever;3.0000;1
Dalmations;1.0000;1
infinity;1.0000;1
Slinky;2.0000;1
David;3.3333;3
shush;24.0000;2
computer;5.6667;3
ee;4.0000;1
steam;25.0000;2
putt;1.0000;2
sting;9.0000;1
wasp;3.3333;3
poinged;1.0000;1
sky;29.0000;4
curtain;12.0000;4
uhuh;1.0000;1
Brek;2.0000;1
wardrobe;2.5000;2
reach;18.2500;4
deep;3.0000;2
Donald;13.5000;2
Goofy;1.5000;2
someday;1.5000;2
Disneyland;2.0000;2
trailor;2.0000;1
John;71.3333;3
mountain;7.0000;3
Andrew;3.6667;3
Portstewart;1.0000;1
tile;3.0000;1
pork;1.0000;2
notice;1.0000;1
village;2.0000;2
Mans;1.0000;1
ribbon;8.5000;4
glove;11.0000;2
bust;2.0000;1
steal;7.3333;3
handbag;3.5000;2
Robbie;5.5000;2
Johnathan;1.0000;1
weather;1.5000;2
matter;20.6667;3
Nooo;1.0000;1
Is;3.0000;1
pipe;10.0000;2
spout;6.0000;2
wool;3.0000;3
brr;3.5000;2
Steven;8.0000;2
properly;18.5000;2
Lisburn;1.0000;1
halloween;5.0000;1
Im;1.0000;1
letter;23.0000;4
clause;1.0000;1
Sant;2.0000;1
cement;3.0000;2
mixer;2.5000;2
Sam;21.0000;2
packet;3.3333;3
muddy;3.2500;4
zoom;1.0000;2
mitten;6.0000;1
wallet;1.0000;2
late;57.5000;4
boing;19.6667;3
muscle;2.5000;2
bold;3.0000;1
bam;7.0000;2
Annie;37.6667;3
Jimmy;2.0000;1
bother;4.0000;2
Aladdin;1.0000;1
Katrina;1.0000;1
realize;1.0000;1
marble;1.0000;2
Kelsey;4.0000;1
Chelsea;3.0000;1
swee;1.0000;1
Mogli;1.0000;1
necessity;1.0000;1
swinger;1.0000;1
grrr;53.0000;2
vroom;61.6667;3
rarr;4.0000;1
wobble;14.6667;3
carriage;10.0000;3
ch;13.0000;1
shovel;1.5000;2
driver;86.6667;3
painter;3.0000;1
