word;relative_frequency;corpus_commonality
flannel;2.0000;1
Cape;1.0000;1
disgust;3.6667;3
Boaz;1.0000;1
Cynthia;3.0000;1
nest;4.0000;2
skin;9.3333;3
mantlepiece;1.0000;1
thunder;4.5000;2
rice;4.0000;3
lav;1.0000;1
coffee;19.7500;4
lots_of;23.8000;5
marmalade;4.0000;2
donkey;18.6667;3
briefcase;1.0000;2
Andrew;3.6667;3
biscui;1.0000;1
bannister;1.0000;1
a_lot_of;9.0000;4
jar;1.0000;1
o'clock;9.6667;3
Wednesday;3.5000;2
rockery;2.0000;1
Bambi;2.5000;2
ankle;2.0000;1
cigarette;1.5000;2
Pam;3.0000;1
material;1.0000;1
rag;1.5000;2
calf;11.0000;2
Susan;2.0000;2
got_to;40.0000;5
licorice;1.0000;2
pin;7.0000;3
bright;7.0000;2
Africa;1.0000;1
warm;23.8000;5
fringe;2.5000;2
vest;1.3333;3
fry;1.2500;4
winter;4.5000;2
scar;10.4000;5
forward;4.5000;4
teaspoon;1.0000;1
next_to;20.5000;4
couch;13.5000;2
Phil;2.5000;2
longer;4.3333;3
salt;12.0000;2
yolk;1.0000;1
waste;1.0000;1
packet;3.6667;3
muddy;4.0000;3
wiggly;6.6667;3
worm;16.5000;4
Caitlin;21.0000;2
super;3.2000;5
Tumble_town;1.0000;1
cloth;5.0000;3
hurry;2.4000;5
belly;6.2000;5
rascal;3.0000;2
pub;9.0000;2
stamp;16.0000;3
tot;1.0000;2
beam;1.0000;1
telephone;13.0000;3
Annes;1.0000;1
woofwoof;1.5000;2
Soppy_socks;8.0000;1
saucepan;5.0000;2
chippie;1.0000;1
stroke;9.3333;3
near;8.6000;5
bedtime;14.0000;3
dice;4.0000;1
ba;3.0000;5
Happy_Birt;1.0000;1
happy_birthday;56.0000;2
tread;5.5000;2
sweetheart;5.0000;2
mushroom;10.0000;2
scarecrow;7.5000;2
tear;6.0000;2
barrow;2.5000;2
Margory;3.0000;1
Daw;36.0000;1
Asda;3.5000;2
yoghurt;5.3333;3
board;17.0000;2
steer;14.0000;2
smack;16.0000;4
pour;12.6000;5
have_to;85.8333;6
fair;7.8000;5
Goose_Fair;2.0000;1
Old_MacDonald;4.5000;2
ee_yay_;1.0000;1
Pb_bear;1.0000;2
trac;1.0000;1
zebra;6.0000;4
breeze;1.0000;2
crawl;12.0000;2
upon;2.5000;4
pus;3.0000;1
ne;1.0000;1
unlock;2.0000;1
fuss;3.5000;2
snuggle;5.5000;2
properly;12.3333;3
Mister_Spider;1.0000;1
mud;17.0000;3
photo;4.0000;2
spaghetti;10.5000;4
wrap;11.0000;3
nicely;7.5000;2
kneel;4.5000;2
currant;4.5000;2
rub;7.6667;3
blur;1.0000;1
spinner;1.0000;2
plat;7.0000;3
snooze;8.0000;2
hoover;6.3333;3
sort;9.8000;5
ahhah;8.0000;4
picnic;15.2000;5
wakie;17.0000;2
Father_Christmas;12.5000;2
pigeon;2.0000;2
trolley;6.0000;4
vroom;46.5000;4
tall;11.5000;4
spit;1.7500;4
railway;11.5000;2
curly;9.7500;4
wiper;1.0000;2
perhaps;4.0000;2
island;1.6667;3
you_all;2.5000;4
loosen;1.0000;2
beach;9.2000;5
Rosie;12.3333;3
Jim;7.8000;5
yuck;9.2500;4
grind;4.0000;4
Martha;1.0000;1
pea;28.0000;4
dalmatian;10.6667;3
Roger;3.0000;1
Cruella_Deville;3.0000;1
mop;1.0000;2
shake;9.6667;3
psst;1.0000;1
shower;6.0000;3
dirt;10.0000;2
child;16.6000;5
good_night;12.0000;2
Jesus;8.6667;3
anywhere;5.0000;4
rocker;4.0000;1
Santa;15.2000;5
switch;4.0000;4
stock;9.5000;2
Ragdoll;1.0000;1
sleigh;2.3333;3
antler;2.0000;1
berry;3.5000;2
mistake;4.0000;1
mince;1.5000;2
stool;3.5000;2
dinnertime;5.5000;2
tow;7.3333;3
wild;1.0000;3
damp;6.0000;1
pooey;3.0000;2
shampoo;6.5000;2
rail;7.5000;2
Santa_Claus;10.5000;2
Pongo;5.5000;2
piano;9.5000;2
television;6.0000;5
Sergeant_Tibbs;2.0000;1
Joseph;8.0000;1
Bethleham;1.0000;1
Bethlehem;2.0000;1
inn;2.0000;1
stable;3.0000;3
cottage;1.6667;3
manger;2.5000;2
shepherd;1.0000;1
crib;1.0000;1
lord;3.0000;1
lay;5.4000;5
Kings;1.0000;1
fireplace;1.0000;3
chimney;22.8000;5
toybox;7.0000;2
pattern;7.7500;4
trittrot;6.0000;1
slippy;4.0000;2
Friday;6.0000;2
witch;14.3333;3
web;1.0000;2
teapot;22.3333;3
paintbrush;2.5000;2
tricky;7.0000;2
special;8.2000;5
elf;1.0000;1
Tracy;1.0000;1
roar;7.7500;4
Rolly;3.0000;2
flip;6.3333;3
wonder;4.2500;4
